brand,logo,category,name,description,image,color
SASI,https://s2.konvy.com/static/category/2021/0510/16206364148516.jpg,Lips,SASI Peace & Love Watery Lip Tint 5g #09 Pink Ploy,SASI Peace & Love Watery Lip Tint 5g #09 Pink Ploy ลิปทินท์เนื้อน้ำโปร่งแสง จากศศิ ให้สีชัดละมุน สัมผัสเบาสบาย แห้งไว สีแน่นติดทนนาน ไม่เลอะมาสก์ ช่วยบำรุงริมฝีปากให้ชุ่มชื้น มอบริมฝีปากให้ที่สดใส แลดูกระจ่างใสมากขึ้น,https://s2.konvy.com/static/team/2024/0806/17229387536446.jpg,"[(252, 97, 139)]"
Laka,https://s2.konvy.com/static/category/2024/0209/17074542999380.jpg,Lips,Laka Fruity Glam Tint 4.5g #104 Cherry,Laka Fruity Glam Tint 4.5g #104 Cherry ลิปทินท์โกลว์ จากลากะ ที่ให้ความประกายแวววาว พร้อมสีสดฉ่ำวาว มอบความชุ่มชื้นบางเบา และอุดมด้วยวิตามินบำรุงทำให้ริมฝีปากเนียนนุ่มขึ้น,https://s2.konvy.com/static/team/2024/0208/17073745377159.jpg,"[(142, 24, 25)]"
Cathy Doll,https://s2.konvy.com/static/category/2021/0224/16141539407049.jpg,Lips,Cathy Doll Filler Lip Booster 3.3g #09 This Is Mom,Cathy Doll Filler Lip Booster 3.3g #09 This Is Mom ลิปเนื้อมอยส์สีฉ่ำวาว จากเคที่ ดอลล์ มอบริมฝีปากเต่งตึง อิ่มฟู ด้วยนวัตกรรมเอนแคปซูเลชั่น โมเลกุลน้ำที่แตกตัวเป็นออยล์ จะเคลือบริมฝีปากเหมือนฟิล์มบางๆ เมื่อเนื้อลิปซึมลงผิว สีลิปจะยิ่งมีความละมุน อิ่มน้ำ ฉ่ำวาวยาวนาน,https://s2.konvy.com/static/team/2024/0320/17109054651452.jpg,"[(156, 23, 30)]"
Laka,https://s2.konvy.com/static/category/2024/0209/17074542999380.jpg,Lips,Laka Fruity Glam Tint 4.5g #116 Candid,Laka Fruity Glam Tint 4.5g #116 Candid ลิปทินท์โกลว์ จากลากะ ที่ให้ความประกายแวววาว พร้อมสีสดฉ่ำวาว มอบความชุ่มชื้นบางเบา และอุดมด้วยวิตามินบำรุงทำให้ริมฝีปากเนียนนุ่มขึ้น,https://s2.konvy.com/static/team/2024/0208/17073742407441.jpg,"[(153, 3, 10)]"
Laka,https://s2.konvy.com/static/category/2024/0209/17074542999380.jpg,Lips,Laka Fruity Glam Tint 4.5g #108 Salty,Laka Fruity Glam Tint 4.5g #108 Salty ลิปทินท์โกลว์ จากลากะ ที่ให้ความประกายแวววาว พร้อมสีสดฉ่ำวาว มอบความชุ่มชื้นบางเบา และอุดมด้วยวิตามินบำรุงทำให้ริมฝีปากเนียนนุ่มขึ้น,https://s2.konvy.com/static/team/2024/0208/17073744589194.jpg,"[(152, 68, 58)]"
Laka,https://s2.konvy.com/static/category/2024/0209/17074542999380.jpg,Lips,Laka Jelling Nude Gloss 4.5g #304 Ginger Ring,Laka Jelling Nude Gloss 4.5g #304 Ginger Ring ลิปกลอสเจลลี่ จากลากะ มอบความชุ่มชื้น พร้อมให้สีที่ชัดเจน ช่วยให้ริมฝีปากอวบอิ่ม,https://s2.konvy.com/static/team/2024/0208/17073739806594.jpg,"[(227, 115, 94)]"
Laka,https://s2.konvy.com/static/category/2024/0209/17074542999380.jpg,Lips,Laka Fruity Glam Tint 4.5g #114 Harmony,Laka Fruity Glam Tint 4.5g #114 Harmony ลิปทินท์โกลว์ จากลากะ ที่ให้ความประกายแวววาว พร้อมสีสดฉ่ำวาว มอบความชุ่มชื้นบางเบา และอุดมด้วยวิตามินบำรุงทำให้ริมฝีปากเนียนนุ่มขึ้น,https://s2.konvy.com/static/team/2024/0208/17073742873920.jpg,"[(157, 53, 40)]"
Laka,https://s2.konvy.com/static/category/2024/0209/17074542999380.jpg,Lips,Laka Fruity Glam Tint 4.5g #107 Sugar,Laka Fruity Glam Tint 4.5g #107 Sugar ลิปทินท์โกลว์ จากลากะ ที่ให้ความประกายแวววาว พร้อมสีสดฉ่ำวาว มอบความชุ่มชื้นบางเบา และอุดมด้วยวิตามินบำรุงทำให้ริมฝีปากเนียนนุ่มขึ้น,https://s2.konvy.com/static/team/2024/0208/17073744753145.jpg,"[(193, 108, 91)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,Lips,4U2 Love You Babe Tint Matte 2.6g #14 Please Please,4U2 Love You Babe Tint Matte 2.6g #14 Please Please ลิปทินท์แมท จากโฟร์ยูทู เนื้อเนียนนุ่ม บางเบา เกลี่ยง่าย ไม่ตกร่องเรียบเนียนไปกับริมฝีปาก กลบสีปากคล้ำได้สนิท ติดทนนานตลอดวัน ผสานการบำรุงช่วยให้ริมฝีปากชุ่มชื่น ดูสุขภาพดีอย่างเป็นธรรมชาติ,https://s2.konvy.com/static/team/2023/1127/17010686414786.jpg,"[(203, 78, 72)]"
4U2,https://s2.konvy.com/static/category/2021/0216/16134695842672.jpg,Lips,4U2 Serum Tint Oil 3g #05 Sugar Club,4U2 Serum Tint Oil 3g #05 Sugar Club ลิปทินท์เนื้อฉ่ำวาว จากโฟร์ยูทู เติมสีสันให้เรียวปากสวยดูสุขภาพดี เนื้อบางเบา ด้วยสูตรพิเศษ Infuse Liquid Oil มอบความชุ่มชื้นฉ่ำวาวมีมิติ,https://s2.konvy.com/static/team/2023/1231/17040403194247.jpg,"[(194, 102, 105)]"
