brand,logo,category,name,description,image,color
Laka,https://s2.konvy.com/static/category/2024/0209/17074542999380.jpg,Blush,Laka Love Silk Blush 5.2g #701 Harico,Laka Love Silk Blush 5.2g #701 Harico บลัชออนแบบฝุ่นเนื้อนุ่มบางเบา จากลากะ ด้วยเทคโนโลยี Triple-radiance Tech ที่ให้เนื้อพิกเมนท์ที่ชัดเจน และมีความวาวละเอียด เผยผิวให้ลุคธรรมชาติ,https://s2.konvy.com/static/team/2024/0208/17073739201027.jpg,"[(234, 131, 142)]"
Laka,https://s2.konvy.com/static/category/2024/0209/17074542999380.jpg,Blush,Laka Love Silk Blush 5.2g #703 Icon,Laka Love Silk Blush 5.2g #703 Icon บลัชออนแบบฝุ่นเนื้อนุ่มบางเบา จากลากะ ด้วยเทคโนโลยี Triple-radiance Tech ที่ให้เนื้อพิกเมนท์ที่ชัดเจน และมีความวาวละเอียด เผยผิวให้ลุคธรรมชาติ,https://s2.konvy.com/static/team/2024/0208/17073738079902.jpg,"[(236, 116, 151)]"
Laka,https://s2.konvy.com/static/category/2024/0209/17074542999380.jpg,Blush,Laka Love Silk Blush 5.2g #704 Nunnu,Laka Love Silk Blush 5.2g #704 Nunnu บลัชออนแบบฝุ่นเนื้อนุ่มบางเบา จากลากะ ด้วยเทคโนโลยี Triple-radiance Tech ที่ให้เนื้อพิกเมนท์ที่ชัดเจน และมีความวาวละเอียด เผยผิวให้ลุคธรรมชาติ,https://s2.konvy.com/static/team/2024/0208/17073737873908.jpg,"[(227, 144, 111)]"
Laka,https://s2.konvy.com/static/category/2024/0209/17074542999380.jpg,Blush,Laka Love Silk Blush 5.2g #708 Poem,Laka Love Silk Blush 5.2g #708 Poem บลัชออนแบบฝุ่นเนื้อนุ่มบางเบา จากลากะ ด้วยเทคโนโลยี Triple-radiance Tech ที่ให้เนื้อพิกเมนท์ที่ชัดเจน และมีความวาวละเอียด เผยผิวให้ลุคธรรมชาติ,https://s2.konvy.com/static/team/2024/0208/17073737136102.jpg,"[(186, 153, 164)]"
2P Original,https://s2.konvy.com/static/category/2021/1201/16383344729529.jpg,Blush,2P Original Oh My Blush 4.3g #02 Milkshake,2P Original Oh My Blush 4.3g #02 Milkshake บลัชออนไร้ฝุ่น จากทูพี ออริจินอล นวัตกรรมใหม่ที่เพิ่มความพิเศษ มี 2 เนื้อสัมผัสในตลับเดียว ทั้งแมทและชิมเมอร์ เนื้อแป้งอัดแน่น เนียนละเอียด เรียบเนียนไปกับผิวหน้า ติดทนนาน สามารถทาได้ทั้งตาและแก้มโดยไม่เป็นคราบ,https://s2.konvy.com/static/team/2023/1231/17040410461403.jpg,"[(237, 197, 194)]"
